1263 SFA 12:0 (G),1222 Alanine (G),1259 SFA 4:0 (G),"1101 Manganese, Mn (MG)",1301 SFA 24:0 (G),"1120 Cryptoxanthin, beta (UG)","1177 Folate, total (UG)",1278 PUFA 2:5 n-3 (EPA) (G),1221 Histidine (G),"1293 Fatty acids, total polyunsaturated (G)",1276 PUFA 18:4 (G),"1127 Tocopherol, delta (MG)",1280 PUFA 22:5 n-3 (DPA) (G),"1110 Vitamin D (D2 + D3), International Units (IU)",1253 Cholesterol (MG),"1313 PUFA 20:2 n-6 c,c (G)","1091 Phosphorus, P (MG)","1018 Alcohol, ethyl (G)",1166 Riboflavin (MG),1062 Energy (kJ),"1104 Vitamin A, IU (IU)","1092 Potassium, K (MG)",1008 Energy (KCAL),1213 Leucine (G),1215 Methionine (G),1165 Thiamin (MG),name,1279 MUFA 22:1 (G),"1130 Tocotrienol, gamma (MG)",1214 Lysine (G),"1125 Tocopherol, beta (MG)",1288 Beta-sitosterol (MG),1274 MUFA 14:1 (G),1272 PUFA 22:6 n-3 (DHA) (G),1223 Aspartic acid (G),1014 Maltose (G),1262 SFA 10:0 (G),1283 Phytosterols (MG),"1187 Folate, food (UG)","1099 Fluoride, F (UG)","1162 Vitamin C, total ascorbic acid (MG)","1106 Vitamin A, RAE (UG)",1273 SFA 22:0 (G),1277 MUFA 20:1 (G),"1090 Magnesium, Mg (MG)",1011 Glucose (dextrose) (G),1170 Pantothenic acid (MG),1275 MUFA 16:1 (G),1216 Cystine (G),1264 SFA 14:0 (G),"1126 Tocopherol, gamma (MG)",1271 PUFA 20:4 (G),1198 Betaine (MG),"1087 Calcium, Ca (MG)",1175 Vitamin B-6 (MG),1210 Tryptophan (G),"1108 Carotene, alpha (UG)",1217 Phenylalanine (G),1010 Sucrose (G),1051 Water (G),1178 Vitamin B-12 (UG),1220 Arginine (G),"1257 Fatty acids, total trans (G)",1004 Total lipid (fat) (G),1325 PUFA 20:3 (G),description,1007 Ash (G),"1131 Tocotrienol, delta (MG)",1227 Serine (G),"1079 Fiber, total dietary (G)","1089 Iron, Fe (MG)","1107 Carotene, beta (UG)",1218 Tyrosine (G),1226 Proline (G),1185 Vitamin K (phylloquinone) (UG),1333 MUFA 15:1 (G),1057 Caffeine (MG),"1235 Sugars, added (G)","1103 Selenium, Se (UG)",1260 SFA 6:0 (G),1009 Starch (G),"1098 Copper, Cu (MG)",1114 Vitamin D (D2 + D3) (UG),1299 SFA 15:0 (G),1268 MUFA 18:1 (G),1003 Protein (G),1266 SFA 18:0 (G),"1258 Fatty acids, total saturated (G)","1292 Fatty acids, total monounsaturated (G)",1219 Valine (G),1300 SFA 17:0 (G),1013 Lactose (G),1267 SFA 20:0 (G),1261 SFA 8:0 (G),1212 Isoleucine (G),1225 Glycine (G),1058 Theobromine (MG),1012 Fructose (G),1123 Lutein + zeaxanthin (UG),"1190 Folate, DFE (UG)",1265 SFA 16:0 (G),1270 PUFA 18:3 (G),1122 Lycopene (UG),"1246 Vitamin B-12, added (UG)",1211 Threonine (G),1109 Vitamin E (alpha-tocopherol) (MG),"1129 Tocotrienol, beta (MG)",1075 Galactose (G),"1128 Tocotrienol, alpha (MG)",1186 Folic acid (UG),1105 Retinol (UG),1285 Stigmasterol (MG),1224 Glutamic acid (G),"1180 Choline, total (MG)",1269 PUFA 18:2 (G),"2000 Sugars, total including NLEA (G)","1242 Vitamin E, added (MG)",1167 Niacin (MG),1184 Vitamin K (Dihydrophylloquinone) (UG),"1093 Sodium, Na (MG)","1005 Carbohydrate, by difference (G)",1323 MUFA 17:1 (G),1286 Campesterol (MG),"1095 Zinc, Zn (MG)"
0.0,,0.0,,,11.0,3.0,0.0,,0.051,0.0,,0.0,,0.0,,11.0,0.0,0.026,,,107,52.0,,,0.017,Apple,0.0,,,,,,0.0,,,0.0,,3.0,,4.6,3.0,,0.0,5.0,,,0.0,,0.001,,0.0,,6.0,0.041,,0.0,,,85.6,0.0,,,0.17,,"Apple, raw",,,,2.4,0.12,27.0,,,2.2,,0.0,,0.0,0.0,,0.027,0.0,,0.007,0.26,0.003,0.028,0.007,,,,,0.0,,,0.0,,29.0,3.0,0.024,0.009,0.0,0.0,,0.18,,,,0.0,0.0,,,3.4,0.043,10.4,0.0,0.091,,1.0,13.8,,,0.04
0.0,,0.0,,,104,9.0,0.0,,0.077,0.0,,0.0,,0.0,,23.0,0.0,0.04,,,259,48.0,,,0.03,Apricot,0.0,,,,,,0.0,,,0.0,,9.0,,10.0,96.0,,0.0,10.0,,,0.0,,0.0,,0.0,,13.0,0.054,,19.0,,,86.4,0.0,,,0.39,,"Apricot, raw",,,,2.0,0.39,1090.0,,,3.3,,0.0,,0.1,0.0,,0.078,0.0,,0.17,1.4,0.003,0.027,0.17,,,,,0.0,,,0.0,,89.0,9.0,0.024,0.0,0.0,0.0,,0.89,,,,0.0,0.0,,,2.8,0.077,9.24,0.0,0.6,,1.0,11.1,,,0.2
0.0,,0.0,,,28.0,81.0,0.0,,1.82,0.0,,0.0,,0.0,,52.0,0.0,0.13,,,485,160,,,0.067,Avocado,0.0,,,,,,0.0,,,0.0,,81.0,,10.0,7.0,,0.025,29.0,,,0.698,,0.0,,0.0,,12.0,0.257,,24.0,,,73.2,0.0,,,14.7,,"Avocado, raw",,,,6.7,0.55,62.0,,,21.0,,0.0,,0.4,0.0,,0.19,0.0,,9.07,2.0,0.049,2.13,9.8,,,,,0.001,,,0.0,,271,81.0,2.08,0.125,0.0,0.0,,2.07,,,,0.0,0.0,,,14.2,1.67,0.66,0.0,1.74,,7.0,8.53,,,0.64
0.002,,0.0,,,0.0,20.0,0.0,,0.073,0.0,,0.0,,0.0,,22.0,0.0,0.073,,,358,89.0,,,0.031,Banana,0.0,,,,,,0.0,,,0.001,,20.0,,8.7,3.0,,0.0,27.0,,,0.01,,0.002,,0.0,,5.0,0.367,,25.0,,,74.9,0.0,,,0.33,,"Banana, raw",,,,2.6,0.26,26.0,,,0.5,,0.0,,1.0,0.0,,0.078,0.0,,0.022,1.09,0.005,0.112,0.032,,,,,0.0,,,0.0,,22.0,20.0,0.102,0.027,0.0,0.0,,0.1,,,,0.0,0.0,,,9.8,0.046,12.2,0.0,0.665,,1.0,22.8,,,0.15
0.0,,0.0,,,0.0,109,0.0,,0.06,0.0,,0.0,,0.0,,40.0,0.0,0.04,,,325,43.0,,,0.031,Beetroot,0.0,,,,,,0.0,,,0.0,,109,,4.9,2.0,,0.0,23.0,,,0.0,,0.0,,0.0,,16.0,0.067,,0.0,,,87.6,0.0,,,0.17,,"Beets, raw",,,,2.8,0.8,20.0,,,0.2,,0.0,,0.7,0.0,,0.075,0.0,,0.032,1.61,0.001,0.027,0.032,,,,,0.0,,,0.0,,0.0,109,0.026,0.005,0.0,0.0,,0.04,,,,0.0,0.0,,,6.0,0.055,6.76,0.0,0.334,,78.0,9.56,,,0.35
0.0,,0.0,,,0.0,6.0,0.0,,0.146,0.0,,0.0,,0.0,,12.0,0.0,0.041,,,77.0,57.0,,,0.037,Blueberry,0.0,,,,,,0.0,,,0.0,,6.0,,9.7,3.0,,0.0,6.0,,,0.002,,0.0,,0.0,,6.0,0.052,,0.0,,,84.2,0.0,,,0.33,,"Blueberries, raw",,,,2.4,0.28,32.0,,,19.3,,0.0,,0.1,0.0,,0.057,0.0,,0.047,0.74,0.005,0.028,0.047,,,,,0.0,,,0.0,,80.0,6.0,0.017,0.058,0.0,0.0,,0.57,,,,0.0,0.0,,,6.0,0.088,9.96,0.0,0.418,,1.0,14.5,,,0.16
0.0,,0.0,,,0.0,3.0,0.0,,0.05,0.0,,0.0,,0.0,,16.0,0.0,0.041,,,257,16.0,,,0.012,Cactus,0.0,,,,,,0.0,,,0.0,,3.0,,9.3,23.0,,0.0,52.0,,,0.002,,0.0,,0.0,,164,0.07,,48.0,,,94.1,0.0,,,0.09,,"Cactus, raw",,,,2.2,0.59,250,,,5.3,,0.0,,0.7,0.0,,0.052,0.0,,0.017,1.32,0.002,0.016,0.018,,,,,0.0,,,0.0,,0.0,3.0,0.012,0.005,0.0,0.0,,0.0,,,,0.0,0.0,,,7.3,0.044,1.15,0.0,0.41,,21.0,3.33,,,0.25
0.001,,0.0,,,0.0,14.0,0.0,,0.081,0.0,,0.0,,0.0,,17.0,0.0,0.027,,,157,34.0,,,0.049,Cantaloupe,0.0,,,,,,0.0,,,0.0,,14.0,,10.9,232,,0.0,13.0,,,0.0,,0.001,,0.0,,9.0,0.04,,0.0,,,90.2,0.0,,,0.18,,"Cantaloupe, raw",,,,0.8,0.38,2780.0,,,2.7,,0.0,,1.7,0.0,,0.085,0.0,,0.003,0.82,0.005,0.051,0.003,,,,,0.0,,,0.0,,32.0,14.0,0.043,0.046,0.0,0.0,,0.05,,,,0.0,0.0,,,7.6,0.035,7.88,0.0,0.694,,30.0,8.16,,,0.44
0.0,0.071,0.0,0.037,,0.0,12.0,0.0,0.008,0.184,0.0,,0.0,0.0,0.0,,12.0,0.0,0.016,128,61.0,133,31.0,0.077,0.021,0.014,Carambula,0.0,,0.077,,,,0.0,0.098,,0.0,,12.0,,34.4,3.0,,0.0,10.0,,0.391,0.0,,0.0,,0.0,,3.0,0.017,0.008,24.0,0.037,,91.4,0.0,0.021,0.0,0.33,,"Carambola, (starfruit), raw",0.52,,0.083,2.8,0.08,25.0,0.044,0.05,0.0,,0.0,,0.6,0.0,,0.137,0.0,,0.03,1.04,0.008,0.019,0.03,0.05,,,,0.0,0.044,0.05,0.0,,66.0,12.0,0.011,0.027,0.0,0.0,0.044,0.15,,,,0.0,0.0,,0.148,7.6,0.157,3.98,0.0,0.367,,2.0,6.73,,,0.12
0.0,,0.0,,,0.0,57.0,0.0,,0.031,0.0,,0.0,,0.0,,44.0,0.0,0.06,,,299,25.0,,,0.05,Cauliflower,0.0,,,,,,0.0,,,0.018,,57.0,,48.2,0.0,,0.0,15.0,,,0.003,,0.0,,0.0,,22.0,0.184,,0.0,,,92.1,0.0,,,0.28,,"Cauliflower, raw",,,,2.0,0.42,0.0,,,15.5,,0.0,,0.6,0.0,,0.039,0.0,,0.027,1.92,0.009,0.13,0.034,,,,,0.0,,,0.0,,1.0,57.0,0.093,0.015,0.0,0.0,,0.08,,,,0.0,0.0,,,44.3,0.016,1.91,0.0,0.507,,30.0,4.97,,,0.27
